Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     40.77     0.00        1     0.00     0.00  std::vector<MES::node, std::allocator<MES::node> >::_Guard_alloc::_Guard_alloc(MES::node*, unsigned long, std::_Vector_base<MES::node, std::allocator<MES::node> >&)
  0.00     40.77     0.00        1     0.00     0.00  std::vector<MES::node, std::allocator<MES::node> >::_Guard_alloc::~_Guard_alloc()
  0.00     40.77     0.00        1     0.00     0.00  std::vector<MES::node, std::allocator<MES::node> >::_M_default_append(unsigned long)
  0.00     40.77     0.00        1     0.00     0.00  std::vector<MES::node, std::allocator<MES::node> >::resize(unsigned long)
  0.00     40.77     0.00        1     0.00     0.00  std::vector<MES::node, std::allocator<MES::node> >::vector()
  0.00     40.77     0.00        1     0.00     0.00  std::vector<MES::node, std::allocator<MES::node> >::~vector()
  0.00     40.77     0.00        1     0.00     0.00  std::vector<MES::element, std::allocator<MES::element> >::_S_max_size(std::allocator<MES::element> const&)
  0.00     40.77     0.00        1     0.00     0.00  std::vector<MES::element, std::allocator<MES::element> >::_S_relocate(MES::element*, MES::element*, MES::element*, std::allocator<MES::element>&)
  0.00     40.77     0.00        1     0.00     0.00  std::vector<MES::element, std::allocator<MES::element> >::reserve(unsigned long)
  0.00     40.77     0.00        1     0.00     0.00  std::vector<MES::element, std::allocator<MES::element> >::vector()
  0.00     40.77     0.00        1     0.00     0.00  std::vector<MES::element, std::allocator<MES::element> >::~vector()
  0.00     40.77     0.00        1     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<true>(char const*, unsigned long)
  0.00     40.77     0.00        1     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     40.77     0.00        1     0.00     0.00  std::__cxx11::stoi(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long*, int)
  0.00     40.77     0.00        1     0.00     0.00  MES::node* std::__relocate_a<MES::node*, MES::node*, std::allocator<MES::node> >(MES::node*, MES::node*, MES::node*, std::allocator<MES::node>&)
  0.00     40.77     0.00        1     0.00     0.00  MES::element* std::__relocate_a<MES::element*, MES::element*, std::allocator<MES::element> >(MES::element*, MES::element*, MES::element*, std::allocator<MES::element>&)
  0.00     40.77     0.00        1     0.00     0.00  MES::node* std::__relocate_a_1<MES::node*, MES::node*, std::allocator<MES::node> >(MES::node*, MES::node*, MES::node*, std::allocator<MES::node>&)
  0.00     40.77     0.00        1     0.00     0.00  MES::element* std::__relocate_a_1<MES::element*, MES::element*, std::allocator<MES::element> >(MES::element*, MES::element*, MES::element*, std::allocator<MES::element>&)
  0.00     40.77     0.00        1     0.00     0.00  MES::node* std::__uninitialized_default_n<MES::node*, unsigned long>(MES::node*, unsigned long)
  0.00     40.77     0.00        1     0.00     0.00  MES::node* std::__uninitialized_default_n_a<MES::node*, unsigned long, MES::node>(MES::node*, unsigned long, std::allocator<MES::node>&)
  0.00     40.77     0.00        1     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     40.77     0.00        1     0.00     0.00  void std::_Destroy<MES::node*>(MES::node*, MES::node*)
  0.00     40.77     0.00        1     0.00     0.00  void std::_Destroy<MES::element*>(MES::element*, MES::element*)
